x,y,class
0.7040229676766074,0.02025991518921222,1
2.897693796577028,1.6918940711760615,1
3.0826911081914683,4.391485158121065,1
4.45747307381516,1.0788848614326794,1
2.484002633909194,0.736034332491107,1
2.677153655527527,3.9280031453339097,1
2.577673159593372,2.789396276796666,1
1.8738948210652515,2.8547657486798568,1
4.75451299991334,3.735946911912056,1
2.567134751451314,2.8605479841777592,1
2.827861180195337,2.2059560460995145,1
2.802101653654472,1.7927683062079003,1
2.6754525625012326,0.6076020705707323,1
2.351334770245391,4.25664320684133,1
2.5710065318955273,1.6968207559468302,1
0.7034281866771306,2.499373999087938,1
-0.06859270435352904,0.34431060314626927,1
2.948431605035386,1.9990124260463704,1
3.8339727852389585,4.475890607728998,1
2.1956205873355747,1.7660971468658568,1
3.2714093443928527,1.9835685544380526,1
-0.7207119953544354,2.967470625971822,1
0.7598595762656057,2.5397954904439097,1
1.6538046728492017,-1.754187592122252,1
2.002786796306793,1.7753110870189195,1
2.7161265690055574,2.411703518106269,1
2.333114633504798,1.1092850194839237,1
2.966835063347559,0.4853151421413322,1
0.005039867650241003,1.5348122561128115,1
1.2004635873164107,3.0620216244259044,1
4.795440867308834,0.9277310233792571,1
2.0551973868353577,2.4781567553968697,1
3.9033806247304215,3.704338318207459,1
3.9275631602857626,3.3278221422791434,1
2.313677471761909,1.0130695622112533,1
0.9988030198940456,1.7310401689465151,1
1.5231293203720795,1.3874766535296317,1
2.5153904267629694,2.1038678155285386,1
2.279611745447703,2.7864274078055673,1
2.6551676687032244,0.7173453491895172,1
0.8496072423505321,0.13039206103946,1
1.2041355591378582,1.2673048743103807,1
3.793528852771307,2.8109460699351225,1
5.302506160852916,2.9340606215023204,1
1.7330657108096073,1.3491771941939597,1
3.0602394633494825,1.1760187742361026,1
1.2131567679871207,1.0803935265088915,1
1.0446326794017975,2.5951146360186685,1
2.2879882038617576,0.938331110199788,1
-0.7017697145579578,0.5272667816817156,1
2.2199443005668837,4.179455770932632,1
-0.26371042541797074,1.6278732030644036,1
3.790069881090074,3.5620545863340776,1
1.387736482128426,-0.07642163217102516,1
2.250601361768271,1.5081668335227227,1
0.9274702513786601,1.0786924117165682,1
4.302261988923462,1.981762981260425,1
2.255991668927374,1.9694026258219064,1
0.5828734795081909,1.3857443272216565,1
1.1479584026244045,1.9323148991606316,1
-0.19918460874173105,2.3375827030968517,1
1.849585515760971,1.5510007556164176,1
2.6464767010176415,3.792712797510554,1
1.062139725677207,1.712317914478974,1
1.2479324726594838,3.4130997838341166,1
2.296278249167559,2.5399212512685585,1
2.8306744771921912,-0.28412251817986833,1
2.124074381826243,1.5964233271827166,1
2.234953022677888,2.7532879120379277,1
2.90239810350597,1.9501823613128446,1
1.6156462611180686,2.1083406607538175,1
1.3788914210796048,0.05704765459380279,1
1.3846475823719324,0.4970446237381798,1
2.649868020904837,3.0380055180144954,1
3.687359928725603,2.7799614665457195,1
0.9480485368310683,0.287838005634933,1
2.5072327269206403,3.913764904729086,1
0.8203238837892868,1.2397661032959784,1
0.5892844564414574,0.3995346593810736,1
0.8524329859342716,0.5900828064771362,1
-0.21697471068242713,0.5089641796737074,1
-0.5922478452738082,0.8732212951507912,1
3.553566843383578,1.993876949857364,1
3.687584440596437,2.681119222667401,1
3.594686530445367,3.3575209361290916,1
2.297032540708692,1.5034840144912187,1
1.3253455231622568,0.10997343789646963,1
0.4571128995298115,1.358465352657824,1
1.1569640981593932,-0.03807223037550633,1
5.501509644314587,2.671733293614907,1
2.669801636982818,0.4248472790471176,1
2.296398067174533,2.3017732175759344,1
2.558841770598229,4.025106641012101,1
0.8343534424814312,4.120814478622558,1
0.5475080149252132,1.280681601511489,1
